project,article,granularity,timestamp,access,agent,views,date,title
en.wikipedia,Twinkling_Watermelon,daily,2023071200,all-access,user,52,2023-07-12,Twinkling Watermelon
en.wikipedia,Twinkling_Watermelon,daily,2023071300,all-access,user,69,2023-07-13,Twinkling Watermelon
en.wikipedia,Twinkling_Watermelon,daily,2023071400,all-access,user,32,2023-07-14,Twinkling Watermelon
en.wikipedia,Twinkling_Watermelon,daily,2023071500,all-access,user,35,2023-07-15,Twinkling Watermelon
en.wikipedia,Twinkling_Watermelon,daily,2023071600,all-access,user,37,2023-07-16,Twinkling Watermelon
en.wikipedia,Twinkling_Watermelon,daily,2023071700,all-access,user,24,2023-07-17,Twinkling Watermelon
en.wikipedia,Twinkling_Watermelon,daily,2023071800,all-access,user,27,2023-07-18,Twinkling Watermelon
en.wikipedia,Twinkling_Watermelon,daily,2023071900,all-access,user,45,2023-07-19,Twinkling Watermelon
en.wikipedia,Twinkling_Watermelon,daily,2023072000,all-access,user,36,2023-07-20,Twinkling Watermelon
en.wikipedia,Twinkling_Watermelon,daily,2023072100,all-access,user,45,2023-07-21,Twinkling Watermelon
en.wikipedia,Twinkling_Watermelon,daily,2023072200,all-access,user,27,2023-07-22,Twinkling Watermelon
en.wikipedia,Twinkling_Watermelon,daily,2023072300,all-access,user,45,2023-07-23,Twinkling Watermelon
en.wikipedia,Twinkling_Watermelon,daily,2023072400,all-access,user,41,2023-07-24,Twinkling Watermelon
en.wikipedia,Twinkling_Watermelon,daily,2023072500,all-access,user,30,2023-07-25,Twinkling Watermelon
en.wikipedia,Twinkling_Watermelon,daily,2023072600,all-access,user,21,2023-07-26,Twinkling Watermelon
en.wikipedia,Twinkling_Watermelon,daily,2023072700,all-access,user,23,2023-07-27,Twinkling Watermelon
en.wikipedia,Twinkling_Watermelon,daily,2023072800,all-access,user,43,2023-07-28,Twinkling Watermelon
en.wikipedia,Twinkling_Watermelon,daily,2023072900,all-access,user,37,2023-07-29,Twinkling Watermelon
en.wikipedia,Twinkling_Watermelon,daily,2023073000,all-access,user,32,2023-07-30,Twinkling Watermelon
en.wikipedia,Twinkling_Watermelon,daily,2023073100,all-access,user,32,2023-07-31,Twinkling Watermelon
en.wikipedia,Twinkling_Watermelon,daily,2023080100,all-access,user,23,2023-08-01,Twinkling Watermelon
en.wikipedia,Twinkling_Watermelon,daily,2023080200,all-access,user,36,2023-08-02,Twinkling Watermelon
